student_id,name,university,faculty,year_of_study,average_mark,attendance,failed_modules,missed_assignments
NSFAS000051,Zanele Mabaso,North-West University,Education,1,95.0,90.0,1,1
NSFAS000052,Nomsa Mthethwa,North-West University,Science,3,40.0,43.0,1,0
NSFAS000053,Andile Mthethwa,University of the Witwatersrand,Commerce,1,70.58,95.0,0,3
NSFAS000054,Sipho Mokoena,University of Pretoria,Arts,3,40.0,20.0,4,2
NSFAS000055,Sipho Mthethwa,University of the Witwatersrand,Science,3,49.0,54.0,2,1
NSFAS000056,Lindiwe Zulu,University of Johannesburg,Science,1,44.17,58.0,4,4
NSFAS000057,Sibusiso Mthethwa,University of Pretoria,Law,3,75.0,91.0,1,1
NSFAS000058,Lindiwe Nkosi,North-West University,Law,3,50.54,85.0,0,2
NSFAS000059,Sibusiso Mabaso,University of Stellenbosch,Arts,3,75.0,95.0,1,3
NSFAS000060,Mpho Mthembu,University of Stellenbosch,Law,2,40.0,33.0,2,2
NSFAS000061,Zanele Khumalo,University of the Witwatersrand,Arts,4,75.0,95.0,1,1
NSFAS000062,Busisiwe Mabaso,University of Pretoria,Education,1,40.0,65.0,4,4
NSFAS000063,Nomsa Mthembu,University of Pretoria,Engineering,2,40.0,34.0,2,4
NSFAS000064,Sibusiso Nkosi,University of Pretoria,Law,4,30.0,45.0,4,3
NSFAS000065,Kagiso Mokoena,University of the Witwatersrand,Law,4,58.16,73.0,1,5
NSFAS000066,Nomsa Mokoena,University of Cape Town,Engineering,4,43.41,30.0,4,3
NSFAS000067,Nomsa Mabaso,University of the Witwatersrand,Arts,1,30.0,61.0,3,4
NSFAS000068,Busisiwe Mkhize,University of the Witwatersrand,Science,3,40.0,27.0,1,2
NSFAS000069,Mpho Mokoena,North-West University,Commerce,1,40.0,35.0,4,2
NSFAS000070,Mpho Ngcobo,University of KwaZulu-Natal,Law,3,40.0,47.0,1,5
NSFAS000071,Tshepo Mahlangu,University of Cape Town,Science,2,69.71,79.0,1,3
NSFAS000072,Nokuthula Mahlangu,University of Cape Town,Law,1,30.0,63.0,2,3
NSFAS000073,Zanele Nkosi,University of KwaZulu-Natal,Science,1,75.0,95.0,0,4
NSFAS000074,Lerato Dlamini,University of Johannesburg,Education,2,75.0,75.0,0,4
NSFAS000075,Nomsa Mhlongo,North-West University,Science,3,40.0,47.0,1,4
NSFAS000076,Thabo Molefe,University of Stellenbosch,Science,4,95.0,95.0,0,5
NSFAS000077,Sibusiso Mahlangu,University of the Free State,Engineering,1,75.0,84.0,0,0
NSFAS000078,Busisiwe Nkosi,University of Cape Town,Law,3,95.0,84.0,0,2
NSFAS000079,Mpho Molefe,University of the Witwatersrand,Law,2,49.9,30.0,2,5
NSFAS000080,Phumzile Mokoena,University of the Free State,Arts,4,43.93,60.0,1,1
NSFAS000081,Themba Khumalo,University of the Free State,Education,1,75.0,77.0,1,0
NSFAS000082,Lerato Mhlongo,University of the Witwatersrand,Education,2,68.44,83.0,0,3
NSFAS000083,Nomsa Mhlongo,North-West University,Education,1,40.0,28.0,2,5
NSFAS000084,Kagiso Mkhize,North-West University,Science,2,40.0,31.0,2,5
NSFAS000085,Themba Ngcobo,University of Stellenbosch,Law,1,71.76,83.0,0,5
NSFAS000086,Tshepo Mabaso,North-West University,Law,3,72.49,80.0,1,2
NSFAS000087,Phumzile Ngcobo,University of Johannesburg,Arts,2,54.66,79.0,0,3
NSFAS000088,Sibusiso Mhlongo,University of the Witwatersrand,Arts,3,75.0,91.0,0,1
NSFAS000089,Busisiwe Mhlongo,University of Pretoria,Commerce,2,30.0,62.0,1,5
NSFAS000090,Mpho Mabaso,University of Pretoria,Commerce,2,49.0,23.0,2,3
NSFAS000091,Kagiso Ngcobo,University of KwaZulu-Natal,Law,3,74.46,95.0,0,5
NSFAS000092,Sibusiso Mokoena,University of Johannesburg,Science,2,75.0,87.0,1,4
NSFAS000093,Sibusiso Zulu,University of the Witwatersrand,Education,3,55.18,66.0,0,3
NSFAS000094,Tshepo Khumalo,University of the Witwatersrand,Education,3,49.71,53.0,2,4
NSFAS000095,Sipho Nkosi,University of KwaZulu-Natal,Engineering,1,75.0,87.0,1,0
NSFAS000096,Nomsa Zulu,University of the Witwatersrand,Engineering,1,40.0,52.0,1,0
NSFAS000097,Nomsa Mabaso,University of the Free State,Science,3,75.0,82.0,0,1
NSFAS000098,Zanele Mahlangu,University of the Free State,Engineering,3,43.8,55.0,3,3
NSFAS000099,Sibusiso Mthethwa,North-West University,Law,1,45.33,28.0,1,2
NSFAS000100,Sipho Nkosi,University of Cape Town,Commerce,3,30.0,30.0,1,0
NSFAS000101,Themba Zulu,University of the Free State,Engineering,2,49.0,51.0,2,1
NSFAS000102,Andile Mhlongo,University of Johannesburg,Engineering,2,75.0,95.0,1,1
NSFAS000103,Andile Mhlongo,North-West University,Education,2,40.0,60.0,1,1
NSFAS000104,Busisiwe Mthethwa,North-West University,Engineering,1,47.38,23.0,3,1
NSFAS000105,Busisiwe Dlamini,University of Cape Town,Education,1,63.83,83.0,0,4
NSFAS000106,Andile Dlamini,University of the Free State,Commerce,1,58.97,83.0,0,2
NSFAS000107,Tshepo Molefe,University of Stellenbosch,Commerce,2,40.0,40.0,2,2
NSFAS000108,Lerato Mokoena,University of the Free State,Engineering,1,40.0,21.0,3,5
NSFAS000109,Andile Mkhize,University of the Witwatersrand,Education,2,68.77,74.0,0,3
NSFAS000110,Kagiso Mahlangu,University of KwaZulu-Natal,Engineering,4,52.45,67.0,1,0
NSFAS000111,Sipho Nkosi,University of Johannesburg,Law,3,30.0,23.0,2,0
NSFAS000112,Mpho Mabaso,University of the Witwatersrand,Arts,1,62.33,83.0,0,0
NSFAS000113,Lindiwe Nkosi,North-West University,Engineering,3,45.9,27.0,4,5
NSFAS000114,Lerato Khumalo,University of Cape Town,Engineering,1,53.74,73.0,0,3
NSFAS000115,Lerato Molefe,University of the Free State,Engineering,1,45.38,51.0,4,4
NSFAS000116,Andile Nkosi,University of Pretoria,Science,4,68.39,80.0,0,0
NSFAS000117,Nomsa Ngcobo,North-West University,Science,4,40.0,20.0,3,2
NSFAS000118,Busisiwe Mhlongo,University of Stellenbosch,Arts,4,30.0,27.0,1,2
NSFAS000119,Nomsa Mahlangu,University of Pretoria,Science,4,40.0,44.0,4,2
NSFAS000120,Lindiwe Khumalo,University of the Witwatersrand,Engineering,4,40.0,20.0,3,0
NSFAS000121,Andile Mthethwa,University of Johannesburg,Arts,3,36.75,39.0,2,4
NSFAS000122,Sipho Mabaso,University of KwaZulu-Natal,Education,2,75.0,77.0,0,4
NSFAS000123,Busisiwe Zulu,University of the Free State,Arts,3,40.0,31.0,4,0
NSFAS000124,Kagiso Mhlongo,University of the Witwatersrand,Arts,2,75.0,95.0,0,1
NSFAS000125,Andile Zulu,University of Johannesburg,Education,1,30.0,64.0,4,3
NSFAS000126,Mpho Khumalo,University of KwaZulu-Natal,Engineering,3,75.0,83.0,1,4
NSFAS000127,Busisiwe Zulu,University of Cape Town,Law,3,40.0,61.0,2,3
NSFAS000128,Kagiso Mabaso,University of KwaZulu-Natal,Commerce,3,75.0,91.0,1,2
NSFAS000129,Lindiwe Mabaso,North-West University,Engineering,3,68.78,58.0,2,1
NSFAS000130,Nomsa Nkosi,University of Pretoria,Education,1,30.0,21.0,1,2
NSFAS000131,Sibusiso Mthembu,North-West University,Education,3,41.07,59.0,4,3
NSFAS000132,Lerato Dlamini,University of Pretoria,Law,1,40.0,30.0,1,1
NSFAS000133,Phumzile Mthembu,University of Cape Town,Science,4,40.0,24.0,2,0
NSFAS000134,Lerato Mahlangu,University of Stellenbosch,Education,3,75.0,94.0,1,3
NSFAS000135,Nokuthula Mahlangu,University of KwaZulu-Natal,Commerce,3,48.98,62.0,1,3
NSFAS000136,Lerato Zulu,North-West University,Education,3,40.0,54.0,3,2
NSFAS000137,Nomsa Mahlangu,University of Stellenbosch,Arts,4,40.0,60.0,2,4
NSFAS000138,Phumzile Khumalo,University of Johannesburg,Law,3,55.89,82.0,1,2
NSFAS000139,Nokuthula Mokoena,University of Cape Town,Arts,3,48.95,46.0,3,3
NSFAS000140,Tshepo Mokoena,University of Stellenbosch,Engineering,1,40.17,23.0,1,0
NSFAS000141,Zanele Mkhize,University of Johannesburg,Education,3,72.53,78.0,1,2
NSFAS000142,Andile Mhlongo,University of KwaZulu-Natal,Science,2,45.76,35.0,3,1
NSFAS000143,Mpho Mkhize,University of Cape Town,Commerce,2,40.29,42.0,1,3
NSFAS000144,Nomsa Ngcobo,University of Pretoria,Science,4,75.0,83.0,0,1
NSFAS000145,Sibusiso Ngcobo,University of Stellenbosch,Commerce,1,75.0,76.0,0,5
NSFAS000146,Thabo Zulu,North-West University,Commerce,1,50.23,57.0,1,4
NSFAS000147,Nokuthula Zulu,University of Johannesburg,Engineering,2,48.73,27.0,4,4
NSFAS000148,Lerato Zulu,University of the Free State,Engineering,1,64.48,82.0,1,2
NSFAS000149,Thabo Mthethwa,University of the Free State,Engineering,3,75.0,86.0,1,3
NSFAS000150,Sibusiso Mkhize,University of the Free State,Education,4,70.8,87.0,1,0
NSFAS000151,Sibusiso Mokoena,University of Stellenbosch,Law,2,30.0,59.0,1,3
NSFAS000152,Sibusiso Mthembu,University of the Free State,Arts,4,49.42,44.0,2,3
NSFAS000153,Sipho Mhlongo,University of the Witwatersrand,Law,4,61.38,80.0,0,0
NSFAS000154,Lerato Ngcobo,University of Pretoria,Science,1,40.0,45.0,4,5
NSFAS000155,Sibusiso Mabaso,University of KwaZulu-Natal,Commerce,4,57.85,67.0,1,0
NSFAS000156,Nokuthula Mahlangu,University of KwaZulu-Natal,Commerce,1,66.74,61.0,0,0
NSFAS000157,Thabo Khumalo,University of KwaZulu-Natal,Education,3,75.0,94.0,0,4
NSFAS000158,Nomsa Mhlongo,University of Johannesburg,Science,3,30.0,39.0,1,4
NSFAS000159,Andile Mthethwa,University of KwaZulu-Natal,Engineering,2,40.0,42.0,2,5
NSFAS000160,Kagiso Dlamini,University of Stellenbosch,Law,1,69.86,74.0,1,0
NSFAS000161,Phumzile Zulu,University of Cape Town,Science,1,40.0,,4,1
NSFAS000162,Andile Mkhize,University of Stellenbosch,Science,3,42.66,45.0,2,5
NSFAS000163,Themba Mokoena,North-West University,Education,3,40.0,38.0,1,1
NSFAS000164,Lindiwe Mabaso,University of Cape Town,Law,3,75.0,83.0,1,3
NSFAS000165,Sibusiso Mabaso,University of Johannesburg,Science,3,61.78,75.0,1,2
NSFAS000166,Nomsa Khumalo,University of Stellenbosch,Arts,3,75.0,,0,4
NSFAS000167,Kagiso Mhlongo,North-West University,Education,1,75.0,92.0,1,0
NSFAS000168,Busisiwe Mokoena,North-West University,Law,3,54.56,61.0,1,3
NSFAS000169,Andile Molefe,North-West University,Law,3,44.1,33.0,1,3
NSFAS000170,Kagiso Mahlangu,University of Cape Town,Engineering,3,75.0,95.0,1,2
NSFAS000171,Tshepo Nkosi,University of the Free State,Science,2,63.37,77.0,1,4
NSFAS000172,Lindiwe Mahlangu,University of Pretoria,Law,1,40.0,31.0,3,4
NSFAS000173,Busisiwe Khumalo,University of Stellenbosch,Arts,4,40.0,51.0,2,3
NSFAS000174,Nomsa Mhlongo,University of the Witwatersrand,Commerce,4,34.33,30.0,2,0
NSFAS000175,Phumzile Mhlongo,University of Johannesburg,Commerce,3,75.0,76.0,1,2
NSFAS000176,Nomsa Dlamini,University of Johannesburg,Arts,1,55.57,67.0,0,5
NSFAS000177,Zanele Mahlangu,University of KwaZulu-Natal,Arts,1,75.0,92.0,0,3
NSFAS000178,Andile Nkosi,University of Stellenbosch,Science,1,30.0,21.0,4,2
NSFAS000179,Phumzile Ngcobo,University of Cape Town,Education,4,38.96,41.0,4,2
NSFAS000180,Lerato Zulu,University of Pretoria,Science,4,65.05,81.0,1,4
NSFAS000181,Andile Mthethwa,University of Stellenbosch,Engineering,2,59.07,78.0,0,0
NSFAS000182,Themba Mabaso,University of KwaZulu-Natal,Law,2,30.0,27.0,2,3
NSFAS000183,Mpho Dlamini,University of Pretoria,Law,2,40.0,52.0,4,5
NSFAS000184,Lindiwe Khumalo,University of KwaZulu-Natal,Arts,4,75.0,75.0,0,1
NSFAS000185,Kagiso Mokoena,University of the Witwatersrand,Arts,2,75.0,80.0,0,4
NSFAS000186,Thabo Mhlongo,University of the Witwatersrand,Engineering,4,75.0,95.0,0,3
NSFAS000187,Andile Mokoena,University of KwaZulu-Natal,Education,3,75.0,85.0,0,1
NSFAS000188,Kagiso Zulu,University of Cape Town,Law,1,30.0,36.0,2,0
NSFAS000189,Tshepo Dlamini,University of Johannesburg,Law,1,75.0,95.0,0,2
NSFAS000190,Themba Mthembu,University of Cape Town,Commerce,3,40.0,38.0,2,2
NSFAS000191,Sipho Dlamini,University of Johannesburg,Education,3,42.28,53.0,2,3
NSFAS000192,Phumzile Dlamini,University of the Witwatersrand,Education,3,30.0,29.0,4,3
NSFAS000193,Sipho Khumalo,University of Cape Town,Law,3,43.69,50.0,2,5
NSFAS000194,Themba Nkosi,North-West University,Arts,1,40.0,25.0,4,3
NSFAS000195,Themba Mabaso,University of Johannesburg,Engineering,4,40.0,29.0,2,1
NSFAS000196,Zanele Molefe,University of KwaZulu-Natal,Commerce,4,48.14,39.0,4,2
NSFAS000197,Nomsa Nkosi,University of KwaZulu-Natal,Science,3,67.1,60.0,1,2
NSFAS000198,Kagiso Mahlangu,University of Cape Town,Science,4,75.0,92.0,0,4
NSFAS000199,Nomsa Mokoena,University of Cape Town,Arts,2,65.25,59.0,2,5
NSFAS000200,Kagiso Khumalo,University of the Witwatersrand,Law,3,40.0,59.0,4,0
NSFAS000201,Zanele Dlamini,University of the Free State,Commerce,2,40.73,64.0,1,3
NSFAS000202,Lerato Molefe,University of Pretoria,Law,4,49.16,61.0,1,5
NSFAS000203,Sibusiso Mahlangu,University of KwaZulu-Natal,Engineering,4,40.0,47.0,2,4
NSFAS000204,Tshepo Mhlongo,University of KwaZulu-Natal,Science,4,54.45,78.0,1,1
NSFAS000205,Sibusiso Nkosi,University of the Witwatersrand,Law,3,40.0,59.0,1,1
NSFAS000206,Mpho Zulu,University of Cape Town,Education,4,30.0,44.0,2,0
NSFAS000207,Phumzile Mthethwa,University of Pretoria,Education,4,40.0,46.0,3,0
NSFAS000208,Busisiwe Mthembu,University of Stellenbosch,Science,3,49.0,30.0,4,2
NSFAS000209,Busisiwe Mhlongo,University of the Witwatersrand,Education,1,40.0,23.0,1,5
NSFAS000210,Kagiso Molefe,University of Johannesburg,Arts,2,65.74,85.0,1,0
NSFAS000211,Sibusiso Mthembu,North-West University,Arts,2,71.5,95.0,0,3
NSFAS000212,Sipho Zulu,University of Pretoria,Arts,3,75.0,86.0,1,4
NSFAS000213,Mpho Mkhize,University of Cape Town,Commerce,2,40.0,53.0,2,0
NSFAS000214,Andile Mahlangu,University of the Witwatersrand,Science,4,66.99,68.0,0,2
NSFAS000215,Lindiwe Dlamini,North-West University,Arts,2,75.0,95.0,0,1
NSFAS000216,Sipho Mthethwa,North-West University,Law,3,74.57,95.0,1,1
NSFAS000217,Busisiwe Dlamini,University of Cape Town,Commerce,3,58.84,82.0,0,5
NSFAS000218,Themba Mthethwa,University of Pretoria,Law,1,75.0,83.0,0,2
NSFAS000219,Andile Mthembu,University of Johannesburg,Arts,1,75.0,78.0,0,2
NSFAS000220,Thabo Dlamini,University of Stellenbosch,Science,2,74.52,80.0,0,1
NSFAS000221,Themba Molefe,North-West University,Arts,3,64.68,69.0,1,3
NSFAS000222,Nokuthula Mkhize,North-West University,Commerce,2,40.0,50.0,2,1
NSFAS000223,Phumzile Mahlangu,University of KwaZulu-Natal,Education,1,85.88,95.0,1,4
NSFAS000224,Busisiwe Nkosi,University of the Witwatersrand,Science,4,75.0,79.0,0,5
NSFAS000225,Nokuthula Mhlongo,North-West University,Education,1,47.61,56.0,4,1
NSFAS000226,Thabo Mhlongo,University of the Witwatersrand,Law,4,59.47,58.0,2,2
NSFAS000227,Nokuthula Mthembu,North-West University,Commerce,3,30.0,36.0,4,2
NSFAS000228,Sibusiso Dlamini,North-West University,Arts,3,75.0,95.0,1,5
NSFAS000229,Andile Mthembu,University of Johannesburg,Education,2,69.29,65.0,0,5
NSFAS000230,Nomsa Nkosi,University of the Witwatersrand,Science,1,40.0,34.0,2,1
NSFAS000231,Kagiso Mthethwa,University of KwaZulu-Natal,Science,3,75.0,,1,5
NSFAS000232,Nokuthula Nkosi,University of the Free State,Commerce,3,75.0,79.0,1,0
NSFAS000233,Mpho Mthethwa,University of Pretoria,Arts,2,44.94,35.0,4,0
NSFAS000234,Lindiwe Ngcobo,North-West University,Law,1,40.0,44.0,2,5
NSFAS000235,Kagiso Ngcobo,University of Johannesburg,Engineering,4,70.77,77.0,1,3
NSFAS000236,Busisiwe Khumalo,North-West University,Engineering,4,71.89,80.0,1,4
NSFAS000237,Andile Khumalo,University of the Witwatersrand,Education,2,45.38,60.0,1,2
NSFAS000238,Nomsa Ngcobo,University of Johannesburg,Law,1,75.0,95.0,0,3
NSFAS000239,Thabo Khumalo,University of Cape Town,Engineering,3,30.0,34.0,4,4
NSFAS000240,Busisiwe Mahlangu,University of the Free State,Science,3,53.98,76.0,1,4
NSFAS000241,Busisiwe Mthethwa,North-West University,Commerce,4,75.0,89.0,1,2
NSFAS000242,Lerato Zulu,University of KwaZulu-Natal,Commerce,1,62.76,70.0,0,1
NSFAS000243,Themba Mthembu,University of the Witwatersrand,Law,3,60.1,60.0,1,5
NSFAS000244,Busisiwe Mthethwa,University of Johannesburg,Science,3,75.0,89.0,0,5
NSFAS000245,Andile Zulu,University of the Free State,Commerce,2,49.32,63.0,0,2
NSFAS000246,Sipho Zulu,University of Johannesburg,Science,2,40.0,27.0,3,5
NSFAS000247,Lindiwe Mhlongo,University of the Free State,Arts,2,43.15,38.0,3,3
NSFAS000248,Mpho Mkhize,University of KwaZulu-Natal,Law,2,40.0,61.0,1,0
NSFAS000249,Mpho Mabaso,University of Pretoria,Law,2,40.0,31.0,3,5
NSFAS000250,Nokuthula Ngcobo,University of the Free State,Law,4,71.17,76.0,0,5
NSFAS000251,Busisiwe Nkosi,North-West University,Commerce,4,67.26,81.0,0,0
NSFAS000252,Lerato Ngcobo,University of KwaZulu-Natal,Education,1,40.0,23.0,1,5
NSFAS000253,Lerato Zulu,University of Stellenbosch,Science,1,30.0,32.0,4,5
NSFAS000254,Lindiwe Mkhize,University of Johannesburg,Engineering,1,58.22,72.0,0,5
NSFAS000255,Sipho Mthembu,University of the Free State,Law,4,73.11,95.0,0,4
NSFAS000256,Lindiwe Ngcobo,University of the Free State,Law,2,49.0,20.0,3,0
NSFAS000257,Nokuthula Mthembu,North-West University,Commerce,1,40.0,25.0,3,3
NSFAS000258,Thabo Dlamini,University of Johannesburg,Education,4,51.31,,1,4
NSFAS000259,Sipho Mhlongo,University of the Witwatersrand,Law,3,56.71,76.0,0,1
NSFAS000260,Zanele Mabaso,North-West University,Commerce,3,30.0,55.0,3,4
NSFAS000261,Themba Mhlongo,University of the Free State,Education,3,55.05,66.0,0,3
NSFAS000262,Sipho Ngcobo,University of the Witwatersrand,Arts,1,48.72,24.0,4,3
NSFAS000263,Tshepo Mahlangu,University of the Witwatersrand,Commerce,3,40.0,52.0,4,3
NSFAS000264,Thabo Nkosi,North-West University,Arts,1,43.24,59.0,3,5
NSFAS000265,Sipho Mabaso,University of Pretoria,Law,1,43.65,53.0,2,3
NSFAS000266,Andile Zulu,North-West University,Commerce,4,49.27,38.0,2,2
NSFAS000267,Themba Mthembu,University of the Witwatersrand,Education,2,59.58,84.0,0,5
NSFAS000268,Themba Mkhize,University of Johannesburg,Commerce,3,44.98,50.0,3,5
NSFAS000269,Thabo Mthethwa,University of Pretoria,Commerce,1,75.0,85.0,0,2
NSFAS000270,Zanele Mokoena,University of Cape Town,Education,2,50.63,59.0,2,2
NSFAS000271,Busisiwe Mokoena,University of the Free State,Science,4,40.0,62.0,2,4
NSFAS000272,Phumzile Mthethwa,University of the Free State,Commerce,3,75.0,89.0,1,3
NSFAS000273,Mpho Mkhize,University of Pretoria,Education,2,75.8,95.0,0,0
NSFAS000274,Zanele Nkosi,North-West University,Engineering,3,50.71,80.0,1,1
NSFAS000275,Sipho Molefe,University of Cape Town,Science,2,40.0,20.0,2,4
NSFAS000276,Andile Khumalo,University of Pretoria,Commerce,4,75.0,95.0,0,1
NSFAS000277,Nomsa Molefe,University of Cape Town,Arts,4,75.0,94.0,0,2
NSFAS000278,Lindiwe Mokoena,University of Pretoria,Commerce,4,40.0,23.0,1,2
NSFAS000279,Nomsa Mkhize,University of the Witwatersrand,Arts,2,75.0,86.0,1,1
NSFAS000280,Mpho Zulu,University of the Free State,Arts,2,40.41,40.0,3,0
NSFAS000281,Mpho Mthembu,North-West University,Law,2,41.49,41.0,1,4
NSFAS000282,Lerato Ngcobo,University of the Witwatersrand,Engineering,1,75.0,86.0,0,2
NSFAS000283,Lerato Mthembu,University of Johannesburg,Education,1,75.0,95.0,1,1
NSFAS000284,Lindiwe Mkhize,University of Johannesburg,Law,1,40.0,34.0,3,5
NSFAS000285,Zanele Mhlongo,University of Stellenbosch,Arts,4,60.51,61.0,1,4
NSFAS000286,Nokuthula Mokoena,University of Cape Town,Education,4,40.0,54.0,3,2
NSFAS000287,Mpho Mthembu,University of Pretoria,Science,3,63.6,59.0,3,3
NSFAS000288,Lindiwe Mkhize,University of Johannesburg,Commerce,4,40.0,,2,1
NSFAS000289,Kagiso Mkhize,University of the Free State,Education,4,40.0,60.0,3,2
NSFAS000290,Sibusiso Mabaso,University of Johannesburg,Engineering,1,75.0,94.0,0,5
NSFAS000291,Sipho Nkosi,University of Johannesburg,Science,3,40.0,20.0,1,3
NSFAS000292,Thabo Ngcobo,University of KwaZulu-Natal,Engineering,3,48.96,33.0,3,2
NSFAS000293,Sipho Mkhize,University of Cape Town,Education,1,63.66,72.0,1,5
NSFAS000294,Thabo Ngcobo,University of Stellenbosch,Commerce,1,66.42,61.0,1,0
NSFAS000295,Themba Mkhize,University of Cape Town,Science,4,30.0,20.0,4,0
NSFAS000296,Phumzile Dlamini,University of Johannesburg,Engineering,2,40.0,29.0,1,1
NSFAS000297,Lindiwe Mahlangu,North-West University,Education,2,30.0,25.0,2,2
NSFAS000298,Zanele Mthethwa,University of Johannesburg,Engineering,3,49.0,35.0,4,4
NSFAS000299,Mpho Mokoena,University of KwaZulu-Natal,Science,2,75.0,77.0,1,2
NSFAS000300,Kagiso Molefe,University of Stellenbosch,Science,3,30.0,28.0,1,2
NSFAS000301,Thabo Mkhize,University of Stellenbosch,Science,1,66.02,64.0,0,5
NSFAS000302,Sibusiso Mthethwa,North-West University,Engineering,4,41.29,38.0,3,4
NSFAS000303,Nomsa Dlamini,University of the Witwatersrand,Law,4,44.49,20.0,4,2
NSFAS000304,Sipho Dlamini,North-West University,Commerce,1,62.85,71.0,0,1
NSFAS000305,Sibusiso Molefe,University of Stellenbosch,Arts,2,49.0,,2,1
NSFAS000306,Andile Zulu,University of the Witwatersrand,Commerce,3,48.99,51.0,4,1
NSFAS000307,Lindiwe Nkosi,University of Johannesburg,Education,3,40.0,52.0,1,4
