student_id,name,university,faculty,year_of_study,average_mark,attendance,failed_modules,missed_assignments,risk_score,risk_level
NSFAS000053,Sibusiso Zulu,University of Pretoria,Science,1,40.0,43.0,3,0,100,HIGH
NSFAS000054,Mpho Mthembu,University of Johannesburg,Science,4,58.03,61.0,1,3,40,MEDIUM
NSFAS000055,Lindiwe Mabaso,North-West University,Engineering,2,40.0,45.0,4,0,100,HIGH
NSFAS000056,Thabo Dlamini,North-West University,Arts,4,70.34,0.0,1,1,40,MEDIUM
NSFAS000057,Sipho Zulu,University of the Witwatersrand,Engineering,2,30.0,24.0,3,3,100,HIGH
NSFAS000058,Nokuthula Mabaso,University of Pretoria,Engineering,2,54.69,55.0,1,0,40,MEDIUM
NSFAS000059,Lindiwe Mahlangu,University of Cape Town,Commerce,4,71.84,91.0,0,5,0,LOW
NSFAS000060,Sibusiso Mahlangu,University of Pretoria,Education,4,40.0,21.0,1,0,80,HIGH
NSFAS000061,Themba Zulu,University of the Witwatersrand,Science,2,40.0,59.0,3,5,100,HIGH
NSFAS000062,Nomsa Mokoena,University of the Witwatersrand,Arts,1,70.1,87.0,0,5,0,LOW
NSFAS000063,Sipho Dlamini,University of the Witwatersrand,Science,3,40.0,61.0,1,1,80,HIGH
NSFAS000064,Phumzile Mokoena,University of the Free State,Education,1,75.0,95.0,1,3,0,LOW
NSFAS000065,Nokuthula Mabaso,University of Pretoria,Arts,2,33.0,29.0,4,2,100,HIGH
NSFAS000066,Nokuthula Mhlongo,North-West University,Engineering,2,65.34,85.0,0,5,0,LOW
NSFAS000067,Themba Mahlangu,University of Cape Town,Law,3,67.45,70.0,1,4,0,LOW
NSFAS000068,Sibusiso Mhlongo,University of Cape Town,Science,2,73.53,92.0,1,5,0,LOW
NSFAS000069,Busisiwe Mabaso,University of the Witwatersrand,Education,1,40.0,42.0,2,3,80,HIGH
NSFAS000070,Nomsa Mkhize,North-West University,Education,4,75.0,88.0,1,4,0,LOW
NSFAS000071,Tshepo Mokoena,University of Johannesburg,Engineering,2,42.71,28.0,1,4,80,HIGH
NSFAS000072,Phumzile Ngcobo,North-West University,Arts,4,47.14,65.0,0,2,80,HIGH
NSFAS000073,Nomsa Khumalo,University of Pretoria,Commerce,4,30.0,28.0,4,0,100,HIGH
NSFAS000074,Andile Molefe,University of Johannesburg,Arts,2,75.0,93.0,0,0,0,LOW
NSFAS000075,Nomsa Mthethwa,University of Johannesburg,Engineering,4,75.0,86.0,1,3,0,LOW
NSFAS000076,Mpho Mthembu,University of Stellenbosch,Science,1,58.48,55.0,1,0,40,MEDIUM
NSFAS000077,Thabo Molefe,University of Cape Town,Law,1,30.0,39.0,3,2,100,HIGH
NSFAS000078,Kagiso Zulu,University of the Free State,Commerce,3,40.0,53.0,2,1,80,HIGH
NSFAS000079,Nokuthula Dlamini,University of the Witwatersrand,Engineering,4,75.0,76.0,0,5,0,LOW
NSFAS000080,Zanele Mabaso,North-West University,Science,2,40.0,25.0,2,2,80,HIGH
NSFAS000081,Themba Khumalo,University of KwaZulu-Natal,Commerce,3,55.53,77.0,0,2,0,LOW
NSFAS000082,Zanele Khumalo,University of the Free State,Engineering,2,64.46,83.0,1,4,0,LOW
NSFAS000083,Tshepo Ngcobo,University of Cape Town,Arts,2,62.48,70.0,1,1,0,LOW
NSFAS000084,Busisiwe Mkhize,University of the Witwatersrand,Arts,2,75.0,85.0,1,4,0,LOW
NSFAS000085,Sibusiso Ngcobo,University of the Witwatersrand,Science,3,40.0,58.0,1,4,80,HIGH
NSFAS000086,Kagiso Mthethwa,North-West University,Education,2,75.0,92.0,0,5,0,LOW
NSFAS000087,Thabo Mahlangu,University of KwaZulu-Natal,Law,1,40.0,51.0,2,1,80,HIGH
NSFAS000088,Sipho Mthembu,University of the Witwatersrand,Science,4,40.0,44.0,2,0,80,HIGH
NSFAS000089,Themba Khumalo,University of KwaZulu-Natal,Commerce,2,43.32,57.0,2,0,80,HIGH
NSFAS000090,Andile Mthethwa,University of the Witwatersrand,Arts,2,60.92,58.0,4,3,60,HIGH
NSFAS000091,Phumzile Mkhize,University of Stellenbosch,Law,3,43.76,0.0,3,4,100,HIGH
NSFAS000092,Zanele Ngcobo,University of Johannesburg,Science,4,75.0,95.0,0,3,0,LOW
NSFAS000093,Kagiso Mokoena,University of Pretoria,Arts,4,40.0,41.0,2,1,80,HIGH
NSFAS000094,Mpho Dlamini,University of Stellenbosch,Engineering,4,40.0,58.0,4,4,100,HIGH
NSFAS000095,Tshepo Molefe,University of the Free State,Engineering,4,30.0,55.0,1,5,80,HIGH
NSFAS000096,Busisiwe Zulu,North-West University,Law,4,40.0,38.0,2,2,80,HIGH
NSFAS000097,Lindiwe Khumalo,University of Cape Town,Arts,2,53.85,63.0,1,0,40,MEDIUM
NSFAS000098,Sipho Nkosi,University of Stellenbosch,Arts,2,75.37,93.0,0,1,0,LOW
NSFAS000099,Phumzile Khumalo,University of Johannesburg,Commerce,2,75.0,94.0,0,3,0,LOW
NSFAS000100,Sibusiso Molefe,University of the Witwatersrand,Arts,2,93.7,93.0,1,1,0,LOW
NSFAS000101,Tshepo Khumalo,North-West University,Law,3,46.01,38.0,3,5,100,HIGH
NSFAS000102,Busisiwe Khumalo,University of KwaZulu-Natal,Law,4,40.0,25.0,3,2,100,HIGH
NSFAS000103,Themba Mthethwa,North-West University,Science,1,61.98,67.0,0,3,40,MEDIUM
NSFAS000104,Mpho Khumalo,University of Stellenbosch,Commerce,4,40.0,47.0,1,5,80,HIGH
NSFAS000105,Sibusiso Dlamini,University of KwaZulu-Natal,Education,4,40.47,48.0,3,3,100,HIGH
NSFAS000106,Lindiwe Mthembu,University of the Witwatersrand,Arts,4,59.12,71.0,1,2,0,LOW
NSFAS000107,Busisiwe Nkosi,North-West University,Commerce,1,40.0,21.0,2,3,80,HIGH
NSFAS000108,Lindiwe Mahlangu,University of Cape Town,Education,3,40.0,21.0,1,0,80,HIGH
NSFAS000109,Themba Mkhize,University of KwaZulu-Natal,Law,2,62.65,61.0,1,4,40,MEDIUM
NSFAS000110,Sibusiso Mokoena,University of the Free State,Science,2,57.61,77.0,1,4,0,LOW
NSFAS000111,Sipho Khumalo,North-West University,Education,2,72.91,91.0,0,5,0,LOW
NSFAS000112,Thabo Dlamini,University of Pretoria,Education,4,75.0,88.0,1,1,0,LOW
NSFAS000113,Busisiwe Mhlongo,North-West University,Education,3,40.0,20.0,3,3,100,HIGH
NSFAS000114,Mpho Nkosi,University of KwaZulu-Natal,Commerce,4,58.65,75.0,1,0,0,LOW
NSFAS000115,Kagiso Mkhize,University of the Witwatersrand,Education,3,40.0,51.0,3,2,100,HIGH
NSFAS000116,Mpho Mabaso,University of KwaZulu-Natal,Education,4,61.47,64.0,1,5,40,MEDIUM
NSFAS000117,Mpho Mahlangu,University of Cape Town,Law,2,75.0,77.0,1,1,0,LOW
NSFAS000118,Themba Mhlongo,North-West University,Engineering,2,75.0,95.0,0,3,0,LOW
NSFAS000119,Busisiwe Molefe,University of Stellenbosch,Science,1,40.0,22.0,3,5,100,HIGH
NSFAS000120,Phumzile Zulu,University of the Witwatersrand,Science,4,42.44,50.0,2,4,80,HIGH
NSFAS000121,Andile Mokoena,University of the Free State,Education,1,75.0,76.0,1,3,0,LOW
NSFAS000122,Mpho Mthembu,University of Johannesburg,Science,4,73.84,82.0,1,5,0,LOW
NSFAS000123,Nokuthula Mhlongo,University of Johannesburg,Commerce,1,30.0,40.0,3,4,100,HIGH
NSFAS000124,Zanele Nkosi,University of KwaZulu-Natal,Science,4,44.55,40.0,2,2,80,HIGH
NSFAS000125,Phumzile Mthethwa,University of KwaZulu-Natal,Commerce,2,45.02,26.0,4,0,100,HIGH
NSFAS000126,Nomsa Mokoena,University of Pretoria,Law,4,40.0,57.0,4,0,100,HIGH
NSFAS000127,Andile Mokoena,University of Stellenbosch,Commerce,2,40.0,38.0,2,0,80,HIGH
NSFAS000128,Zanele Mokoena,North-West University,Arts,1,65.27,83.0,1,3,0,LOW
NSFAS000129,Kagiso Mabaso,University of the Free State,Science,3,75.0,92.0,1,5,0,LOW
NSFAS000130,Kagiso Mokoena,University of Johannesburg,Law,3,49.0,22.0,2,2,80,HIGH
NSFAS000131,Zanele Mokoena,University of Cape Town,Commerce,4,65.66,85.0,1,2,0,LOW
NSFAS000132,Mpho Molefe,University of Stellenbosch,Education,2,71.67,84.0,0,2,0,LOW
NSFAS000133,Kagiso Ngcobo,University of Stellenbosch,Engineering,2,75.0,84.0,1,0,0,LOW
NSFAS000134,Busisiwe Mkhize,North-West University,Engineering,2,40.0,53.0,2,5,80,HIGH
NSFAS000135,Themba Nkosi,University of KwaZulu-Natal,Science,4,83.22,95.0,1,2,0,LOW
NSFAS000136,Zanele Nkosi,University of the Witwatersrand,Law,3,40.0,47.0,2,3,80,HIGH
NSFAS000137,Kagiso Mkhize,University of Johannesburg,Science,3,73.05,78.0,1,3,0,LOW
NSFAS000138,Kagiso Khumalo,University of the Free State,Law,1,40.0,65.0,2,4,80,HIGH
NSFAS000139,Nokuthula Dlamini,University of the Witwatersrand,Law,3,75.0,95.0,1,4,0,LOW
NSFAS000140,Lindiwe Zulu,University of the Witwatersrand,Science,1,43.67,43.0,1,4,80,HIGH
NSFAS000141,Lerato Mabaso,University of Johannesburg,Law,2,40.0,62.0,1,2,80,HIGH
NSFAS000142,Kagiso Mthethwa,University of KwaZulu-Natal,Law,2,73.68,95.0,0,0,0,LOW
NSFAS000143,Tshepo Ngcobo,University of Cape Town,Law,3,47.76,63.0,1,5,80,HIGH
NSFAS000144,Mpho Khumalo,University of KwaZulu-Natal,Law,3,57.83,69.0,1,3,40,MEDIUM
NSFAS000145,Lerato Mthethwa,North-West University,Law,3,30.0,30.0,3,2,100,HIGH
NSFAS000146,Nokuthula Zulu,University of Cape Town,Science,1,38.91,20.0,3,0,100,HIGH
NSFAS000147,Zanele Ngcobo,University of Johannesburg,Law,4,57.31,71.0,0,5,0,LOW
NSFAS000148,Busisiwe Ngcobo,University of Cape Town,Commerce,2,40.0,38.0,2,4,80,HIGH
NSFAS000149,Sibusiso Mahlangu,North-West University,Education,2,75.0,85.0,1,3,0,LOW
NSFAS000150,Lerato Mkhize,University of Pretoria,Arts,4,75.0,89.0,0,2,0,LOW
NSFAS000151,Andile Mahlangu,University of Pretoria,Commerce,2,40.0,35.0,2,0,80,HIGH
NSFAS000152,Zanele Mthembu,University of the Free State,Law,4,49.0,34.0,1,4,80,HIGH
NSFAS000153,Mpho Mhlongo,University of Johannesburg,Education,4,40.0,30.0,4,1,100,HIGH
NSFAS000154,Mpho Mokoena,North-West University,Science,4,61.2,80.0,0,1,0,LOW
NSFAS000155,Sipho Mhlongo,University of KwaZulu-Natal,Commerce,1,75.0,87.0,1,4,0,LOW
NSFAS000156,Lindiwe Zulu,North-West University,Commerce,1,57.86,55.0,4,0,60,HIGH
NSFAS000157,Kagiso Nkosi,University of the Free State,Education,2,40.0,60.0,2,2,80,HIGH
NSFAS000158,Nomsa Molefe,University of Pretoria,Science,4,70.57,80.0,0,5,0,LOW
NSFAS000159,Phumzile Dlamini,University of KwaZulu-Natal,Arts,3,68.97,83.0,0,2,0,LOW
NSFAS000160,Sibusiso Mthethwa,University of Pretoria,Law,2,75.0,95.0,1,1,0,LOW
NSFAS000161,Thabo Dlamini,University of KwaZulu-Natal,Engineering,1,62.35,71.0,0,5,0,LOW
NSFAS000162,Phumzile Mokoena,University of Stellenbosch,Engineering,4,30.0,24.0,1,1,80,HIGH
NSFAS000163,Andile Mkhize,University of Stellenbosch,Education,4,75.0,95.0,0,1,0,LOW
NSFAS000164,Phumzile Mkhize,University of the Witwatersrand,Education,4,40.0,27.0,3,2,100,HIGH
NSFAS000165,Lerato Mabaso,University of Cape Town,Education,4,49.0,57.0,1,4,80,HIGH
NSFAS000166,Sibusiso Zulu,University of Johannesburg,Science,1,51.4,63.0,0,4,40,MEDIUM
NSFAS000167,Nomsa Mahlangu,University of the Witwatersrand,Commerce,4,40.0,64.0,3,0,100,HIGH
NSFAS000168,Lerato Mthethwa,University of Stellenbosch,Arts,2,47.93,50.0,2,4,80,HIGH
NSFAS000169,Tshepo Nkosi,University of the Free State,Arts,2,56.88,77.0,0,1,0,LOW
NSFAS000170,Busisiwe Mthembu,University of Pretoria,Arts,2,49.0,39.0,2,0,80,HIGH
NSFAS000171,Kagiso Mabaso,University of KwaZulu-Natal,Engineering,3,78.85,77.0,0,2,0,LOW
NSFAS000172,Sibusiso Mhlongo,University of KwaZulu-Natal,Arts,1,40.0,46.0,2,5,80,HIGH
NSFAS000173,Busisiwe Mkhize,University of the Witwatersrand,Arts,3,30.0,47.0,2,3,80,HIGH
NSFAS000174,Tshepo Dlamini,University of Pretoria,Science,2,52.85,81.0,0,5,0,LOW
NSFAS000175,Zanele Ngcobo,University of Stellenbosch,Engineering,3,30.0,53.0,2,0,80,HIGH
NSFAS000176,Nomsa Mkhize,University of the Witwatersrand,Arts,4,40.0,58.0,1,2,80,HIGH
NSFAS000177,Sibusiso Mhlongo,University of the Witwatersrand,Education,4,40.0,35.0,3,0,100,HIGH
NSFAS000178,Tshepo Khumalo,University of Pretoria,Education,4,40.0,58.0,2,5,80,HIGH
NSFAS000179,Themba Dlamini,North-West University,Arts,3,40.0,45.0,1,4,80,HIGH
NSFAS000180,Lerato Mahlangu,University of the Free State,Science,1,30.0,51.0,4,1,100,HIGH
NSFAS000181,Nokuthula Mthethwa,North-West University,Arts,4,75.0,95.0,0,4,0,LOW
NSFAS000182,Kagiso Mhlongo,University of Pretoria,Commerce,2,40.0,39.0,4,2,100,HIGH
NSFAS000183,Kagiso Ngcobo,University of Johannesburg,Arts,1,48.38,41.0,1,5,80,HIGH
NSFAS000184,Sibusiso Mabaso,University of the Free State,Education,2,75.0,95.0,0,2,0,LOW
NSFAS000185,Nomsa Mahlangu,University of the Free State,Engineering,4,40.0,56.0,4,0,100,HIGH
NSFAS000186,Phumzile Mthethwa,University of Cape Town,Law,4,40.19,48.0,3,1,100,HIGH
NSFAS000187,Lindiwe Mokoena,University of Pretoria,Arts,3,30.0,59.0,2,2,80,HIGH
NSFAS000188,Themba Mthethwa,University of the Witwatersrand,Commerce,1,65.64,55.0,2,0,40,MEDIUM
NSFAS000189,Lerato Mahlangu,University of KwaZulu-Natal,Commerce,3,40.0,33.0,1,2,80,HIGH
NSFAS000190,Sibusiso Mhlongo,University of Pretoria,Commerce,2,40.0,41.0,4,2,100,HIGH
NSFAS000191,Nomsa Mthembu,University of Pretoria,Science,1,46.45,36.0,3,3,100,HIGH
NSFAS000192,Nokuthula Mkhize,North-West University,Education,2,88.07,93.0,1,5,0,LOW
NSFAS000193,Nokuthula Mokoena,University of Cape Town,Education,2,42.77,53.0,4,3,100,HIGH
NSFAS000194,Sipho Dlamini,University of the Free State,Law,1,45.74,64.0,1,3,80,HIGH
NSFAS000195,Sibusiso Mabaso,University of the Witwatersrand,Science,1,71.05,85.0,1,3,0,LOW
NSFAS000196,Busisiwe Mhlongo,University of the Free State,Commerce,1,75.0,94.0,1,4,0,LOW
NSFAS000197,Kagiso Ngcobo,University of Cape Town,Arts,2,57.18,76.0,1,4,0,LOW
NSFAS000198,Tshepo Mthethwa,University of the Free State,Engineering,4,40.0,41.0,2,1,80,HIGH
NSFAS000199,Tshepo Ngcobo,University of Johannesburg,Engineering,1,30.0,64.0,2,1,80,HIGH
NSFAS000200,Sipho Mokoena,University of Johannesburg,Engineering,2,51.72,84.0,0,3,0,LOW
NSFAS000201,Themba Mahlangu,University of the Free State,Engineering,2,40.0,46.0,2,4,80,HIGH
NSFAS000202,Nomsa Dlamini,University of Johannesburg,Education,3,72.14,85.0,1,2,0,LOW
NSFAS000203,Andile Mhlongo,University of the Witwatersrand,Commerce,1,42.43,25.0,1,1,80,HIGH
NSFAS000204,Sipho Molefe,University of the Witwatersrand,Science,1,56.85,74.0,1,3,0,LOW
NSFAS000205,Andile Molefe,North-West University,Commerce,3,40.0,24.0,4,2,100,HIGH
NSFAS000206,Sibusiso Mkhize,University of the Free State,Education,2,40.0,47.0,4,2,100,HIGH
NSFAS000207,Andile Nkosi,University of Cape Town,Engineering,1,47.8,43.0,4,4,100,HIGH
NSFAS000208,Themba Ngcobo,University of KwaZulu-Natal,Commerce,2,68.32,77.0,1,3,0,LOW
NSFAS000209,Mpho Ngcobo,North-West University,Arts,3,42.72,33.0,1,3,80,HIGH
NSFAS000210,Kagiso Mhlongo,University of KwaZulu-Natal,Commerce,2,40.0,26.0,1,1,80,HIGH
NSFAS000211,Kagiso Khumalo,University of the Free State,Engineering,3,30.0,56.0,2,1,80,HIGH
NSFAS000212,Tshepo Nkosi,University of Cape Town,Education,1,70.04,80.0,1,5,0,LOW
NSFAS000213,Themba Molefe,University of Cape Town,Law,4,58.97,55.0,4,5,60,HIGH
NSFAS000214,Sibusiso Mthethwa,University of Johannesburg,Engineering,3,40.0,28.0,3,5,100,HIGH
NSFAS000215,Sibusiso Khumalo,North-West University,Law,3,53.59,69.0,0,4,40,MEDIUM
NSFAS000216,Lerato Mthethwa,University of the Free State,Science,3,69.14,55.0,1,3,40,MEDIUM
NSFAS000217,Sipho Mthethwa,University of KwaZulu-Natal,Education,3,75.0,85.0,0,3,0,LOW
NSFAS000218,Sibusiso Dlamini,University of Johannesburg,Education,1,72.38,82.0,1,0,0,LOW
NSFAS000219,Tshepo Mahlangu,University of the Witwatersrand,Education,2,40.0,31.0,4,4,100,HIGH
NSFAS000220,Kagiso Mokoena,University of KwaZulu-Natal,Law,4,30.0,43.0,4,1,100,HIGH
NSFAS000221,Lindiwe Mkhize,University of the Free State,Engineering,3,64.2,77.0,0,0,0,LOW
NSFAS000222,Andile Mhlongo,University of Johannesburg,Commerce,2,40.0,47.0,2,4,80,HIGH
NSFAS000223,Nokuthula Molefe,University of Pretoria,Arts,3,40.0,33.0,2,2,80,HIGH
NSFAS000224,Andile Dlamini,University of Stellenbosch,Arts,1,66.18,64.0,1,4,40,MEDIUM
NSFAS000225,Tshepo Khumalo,University of the Witwatersrand,Engineering,2,44.89,60.0,4,5,100,HIGH
NSFAS000226,Tshepo Mthethwa,University of Cape Town,Education,3,75.0,92.0,1,2,0,LOW
NSFAS000227,Themba Mahlangu,University of Stellenbosch,Arts,3,70.15,0.0,1,0,40,MEDIUM
NSFAS000228,Nokuthula Ngcobo,University of the Witwatersrand,Arts,1,70.84,94.0,1,0,0,LOW
NSFAS000229,Themba Mthethwa,University of the Free State,Education,4,33.88,23.0,3,5,100,HIGH
NSFAS000230,Nomsa Mahlangu,University of Johannesburg,Education,2,70.01,91.0,0,1,0,LOW
NSFAS000231,Lindiwe Dlamini,University of Stellenbosch,Commerce,3,40.85,22.0,4,5,100,HIGH
NSFAS000232,Lerato Dlamini,University of Stellenbosch,Engineering,4,95.0,78.0,0,5,0,LOW
NSFAS000233,Thabo Mthembu,University of Johannesburg,Education,3,40.0,42.0,4,2,100,HIGH
NSFAS000234,Thabo Mokoena,University of the Witwatersrand,Arts,4,75.0,91.0,0,2,0,LOW
NSFAS000235,Sipho Nkosi,University of KwaZulu-Natal,Commerce,1,40.0,38.0,4,1,100,HIGH
NSFAS000236,Phumzile Nkosi,University of Johannesburg,Arts,3,62.99,62.0,0,4,40,MEDIUM
NSFAS000237,Phumzile Molefe,University of Cape Town,Engineering,2,40.0,61.0,1,3,80,HIGH
NSFAS000238,Themba Mabaso,University of Johannesburg,Education,1,51.86,78.0,1,5,0,LOW
NSFAS000239,Nomsa Mthembu,University of Stellenbosch,Commerce,3,40.0,47.0,4,0,100,HIGH
NSFAS000240,Andile Zulu,University of the Free State,Education,4,40.0,61.0,3,0,100,HIGH
NSFAS000241,Tshepo Mokoena,University of KwaZulu-Natal,Arts,2,40.0,57.0,1,0,80,HIGH
NSFAS000242,Busisiwe Nkosi,North-West University,Engineering,1,75.0,90.0,0,4,0,LOW
NSFAS000243,Lindiwe Mhlongo,University of the Free State,Arts,2,49.0,62.0,1,0,80,HIGH
NSFAS000244,Mpho Mthethwa,University of the Free State,Arts,1,75.0,81.0,1,4,0,LOW
NSFAS000245,Kagiso Dlamini,University of the Free State,Engineering,3,56.67,70.0,0,0,0,LOW
NSFAS000246,Thabo Zulu,University of Johannesburg,Science,2,74.94,0.0,1,0,40,MEDIUM
NSFAS000247,Lindiwe Khumalo,University of Johannesburg,Law,3,40.0,51.0,4,1,100,HIGH
NSFAS000248,Sibusiso Nkosi,North-West University,Engineering,3,75.0,91.0,0,4,0,LOW
NSFAS000249,Themba Nkosi,University of the Free State,Arts,2,75.0,76.0,0,4,0,LOW
NSFAS000250,Thabo Khumalo,University of Stellenbosch,Law,1,75.0,90.0,0,1,0,LOW
NSFAS000251,Lerato Khumalo,University of Pretoria,Arts,3,41.58,52.0,3,1,100,HIGH
NSFAS000252,Phumzile Mhlongo,University of KwaZulu-Natal,Commerce,2,58.72,55.0,3,5,60,HIGH
NSFAS000253,Sibusiso Mahlangu,University of the Free State,Commerce,4,75.0,95.0,0,3,0,LOW
NSFAS000254,Zanele Khumalo,University of KwaZulu-Natal,Law,2,40.0,34.0,2,0,80,HIGH
NSFAS000255,Lerato Ngcobo,University of Pretoria,Arts,2,55.75,57.0,2,2,40,MEDIUM
NSFAS000256,Themba Ngcobo,University of Cape Town,Law,1,75.0,76.0,0,0,0,LOW
NSFAS000257,Lindiwe Mahlangu,University of the Witwatersrand,Science,3,40.0,35.0,2,2,80,HIGH
NSFAS000258,Mpho Mhlongo,University of the Free State,Education,3,42.2,62.0,2,3,80,HIGH
NSFAS000259,Tshepo Mthethwa,North-West University,Law,2,40.0,0.0,4,5,100,HIGH
NSFAS000260,Sibusiso Molefe,University of KwaZulu-Natal,Science,2,41.58,42.0,2,3,80,HIGH
NSFAS000261,Nokuthula Mabaso,University of KwaZulu-Natal,Commerce,3,30.0,61.0,3,3,100,HIGH
NSFAS000262,Andile Dlamini,University of Cape Town,Arts,4,40.0,46.0,2,0,80,HIGH
NSFAS000263,Tshepo Khumalo,University of Johannesburg,Commerce,1,75.0,89.0,0,5,0,LOW
NSFAS000264,Sipho Molefe,North-West University,Engineering,1,30.0,30.0,2,5,80,HIGH
